title,artist,lyrics,audio_path,genius_url,preview_url,lastfm_tags,vibe,fetch_errors,sources,spotify_id,kaggle_track_name,kaggle_artist,album,valence,energy,tempo,danceability,acousticness,instrumentalness,speechiness,liveness,key,mode,label_source
Riptide,Vance Joy,"I was scared of dentists and the dark
I was scared of pretty girls and starting conversations
Oh, all my friends are turnin' green
You're the magician's assistant in their dream

Oh-ooh, ooh, ooh
Oh, and they come unstuck

Lady, runnin' down to the riptide
Taken away to the dark side
I wanna be your left-hand man
I love you when you're singin' that song and
I got a lump in my throat 'cause
You're gonna sing the words wrong

There's this movie that I think you'll like
This guy decides to quit his job and heads to New York City
This cowboy's runnin' from himself
And she's been livin' on the highest shelf

Oh-ooh, ooh, ooh
Oh, and they come unstuck

Lady, runnin' down to the riptide
Taken away to the dark side
I wanna be your left-hand man
I love you when you're singin' that song, and
I got a lump in my throat 'cause
You're gonna sing the words wrong

I just wanna, I just wanna know
If you're gonna, if you're gonna stay
I just gotta, I just gotta know
I can't have it, I can't have it any other way
I swear she's destined for the screen
Closest thing to Michelle Pfeiffer that you've ever seen, oh

Lady, runnin' down to the riptide
Taken away to the dark side
I wanna be your left-hand man
I love you when you're singin' that song and
I got a lump in my throat 'cause
You're gonna sing the words wrong

Oh, lady, runnin' down to the riptide
Taken away to the dark side
I wanna be your left-hand man
I love you when you're singin' that song and
I got a lump in my throat 'cause
You're gonna sing the words wrong
Oh, lady, runnin' down to the riptide
Taken away to the dark side
I wanna be your left-hand man
I love you when you're singin' that song and
I got a lump in my throat 'cause
You're gonna sing the words wrong, yeah
I got a lump in my throat 'cause
You're gonna sing the words wrong",,https://genius.com/Vance-joy-riptide-lyrics,,,energetic,Spotify: 429 Client Error: Too Many Requests for url: https://api.spotify.com/v1/search?q=track%3ARiptide+artist%3AVance+Joy&type=track&limit=5,genius,3JvrhDOgAt6p7K8mDyZwRd,Riptide,Vance Joy,Dream Your Life Away (Special Edition),0.51,0.731,101.654,0.484,0.431,0.0,0.0379,0.151,1.0,1.0,kaggle
One Dance,Drake,"Baby, I like your style

Grips on your waist, front way, back way
You know that I don't play
Streets not safe but I never run away
Even when I'm away
Oti, oti
There's never much love when we go OT
I pray to make it back in one piece
I pray, I pray

That's why I need a one dance
Got a Hennessy in my hand
One more time 'fore I go
Higher powers taking a hold on me
I need a one dance
Got a Hennessy in my hand
One more time 'fore I go
Higher powers taking a hold on me

Baby, I like your style

Strength and guidance
All that I'm wishing for my friends
Nobody makes it from my ends
I had to bust up the silence
You know you gotta stick by me
Soon as you see the text, reply me
I don't wanna spend time fighting
We've got no time, and that's why

I need a one dance
Got a Hennessy in my hand
One more time 'fore I go
Higher powers taking a hold on me
I need a one dance
Got a Hennessy in my hand
One more time 'fore I go
Higher powers taking a hold on me

Got a pretty girl and she love me long time
Fine like a wine, she love me long time
Oh, yeah, very long time
Back up, back up, back up, and whine it
Back up, back up, and whine it
Girl, just back up, back up, back up, and whine, girl
Oh, yes, steady and fine
Back, up, back up and whine it, mm

Oh, tell me, I need to know
Where do you wanna go?
'Cause if you're down, I'll take it slow
Make you lose control

Where, where, where
Where, where, where, where (
Oh, yeah, very long time
)
Where, where, where (
Back up, back up, and whine am, girl
)
Where, where, where, where
'Cause if you're down (
Back up, back up, and–
)
'Cause if you're down (
Back up, back up, and–
)
'Cause if you're down (
Back up, back up, and–
)

I need a one dance (
Where, where, where
)
Got a Hennessy in my hand (
Where, where, where, where
)
One more time 'fore I go (
Where
)
Higher powers taking a hold on me (
Where, where, where, where
)
I need a one dance
Got a Hennessy in my hand
One more time 'fore I go
Higher powers taking a hold on me

How do you spell ""Hennessy?""
I put two ""N""s and two ""S""es, is it like that? Hen... Henn... Henn...
It's definitely not showing up
I know ""Hennessy"" has two ""S""es for sure, so I'm gonna take out one of the ""N""s",,https://genius.com/Drake-one-dance-lyrics,,,dark,Spotify: 429 Client Error: Too Many Requests for url: https://api.spotify.com/v1/search?q=track%3AOne+Dance+artist%3ADrake&type=track&limit=5,genius,1xznGGDReH1oQq0xzbwXa3,One Dance,Drake,Views,0.371,0.619,103.989,0.791,0.00784,0.00423,0.0532,0.351,1.0,1.0,kaggle
뚜두뚜두 (DDU-DU DDU-DU),BLACKPINK,"BLACKPINK
Ah yeah, ah yeah
BLACKPINK
Ah yeah, ah yeah

Eh, 착한 얼굴에 그렇지 못한 태도 (Uh)
가녀린 몸매 속 가려진 volume은 두 배로 (Yah, yah, double up)
거침없이 직진 굳이 보진 않지 눈치 (Woo)
Black 하면 Pink 우린 예쁘장한 savage (
BLACKPINK
)

원할 땐 대놓고 뺏지 (Uh)
넌 뭘 해도 칼로 물 베기 (Uh)
두 손엔 가득한 fat check
궁금하면 해봐 fact check
눈 높인 꼭대기
물 만난 물고기
좀 독해 난 toxic
You 혹해, I'm foxy

두 번 생각해
흔한 남들처럼 착한 척은 못 하니까
착각하지 마
쉽게 웃어주는 건 날 위한 거야
아직은 잘 모르겠지
굳이 원하면 test me, 넌 불 보듯이 뻔해
만만한 걸 원했다면
Oh, wait 'til I do what I—

Hit you with that ddu-du, ddu-du, du
Ah yeah, ah yeah
Hit you with that ddu-du, ddu-du, du
Ah yeah, ah yeah
Ddu-du, du-du-du-du-du

(Hit you with that, hit you with that, hit you with that)
BLACKPINK

지금 내가 걸어가는 거린
BLACKPINK four-way 사거리
동서남북 사방으로 run it
너네 버킷리스트 싹 다 I bought it
널 당기는 것도 멀리 밀치는 것도
제멋대로 하는 bad girl
좋건 싫어하건 누가 뭐라 하던
When the bass drop, it's another banger

두 번 생각해
흔한 남들처럼 착한 척은 못 하니까
착각하지 마
쉽게 웃어주는 건 날 위한 거야
아직은 잘 모르겠지
굳이 원하면 test me, 넌 불 보듯이 뻔해
만만한 걸 원했다면
Oh, wait 'til I do what I—

Hit you with that ddu-du, ddu-du, du
Ah yeah, ah yeah
Hit you with that ddu-du, ddu-du, du
Ah yeah, ah yeah
Ddu-du, du-du-du-du-du

What you gonna do when I come, come through
With that, that uh? Uh-huh
What you gonna do when I come, come through
With that, that uh? Uh-huh
뜨거워, 뜨거워, 뜨거워 like fire
(Ddu-du, du-du-du-du-du, ddu-du, du-du-du-du-du)
뜨거워, 뜨거워, 뜨거워 like fire
(Ddu-du, du-du-du-du-du, ddu-du, du-du-du-du-du)

BLACKPINK
Hey
(Ddu-du, du-du-du-du, du-du-du-du)
Ah yeah, ah yeah, ah yeah, ah yeah
뜨거워, 뜨거워, 뜨거워 like fire
Hey
뜨거워, 뜨거워, 뜨거워 like fire
Hit you with that ddu-du, ddu-du, du",,https://genius.com/Blackpink-ddu-du-ddu-du-lyrics,,,aggressive,Spotify: 429 Client Error: Too Many Requests for url: https://api.spotify.com/v1/search?q=track%3A%EB%9A%9C%EB%91%90%EB%9A%9C%EB%91%90+%28DDU-DU+DDU-DU%29+artist%3ABLACKPINK&type=track&limit=5,genius,7b8YOVV5quZcSKEijDgyWB,DDU-DU DDU-DU,BLACKPINK,SQUARE UP,0.389,0.859,139.931,0.671,0.0323,0.0,0.0833,0.267,4.0,0.0,kaggle
Do I Wanna Know?,Arctic Monkeys,"Have you got colour in your cheeks?
Do you ever get that fear that you can't shift the type
That sticks around like summat in your teeth?
Are there some aces up your sleeve?
Have you no idea that you're in deep?
I've dreamt about you nearly every night this week
How many secrets can you keep?
'Cause there's this tune I found
That makes me think of you somehow an' I play it on repeat
Until I fall asleep, spillin' drinks on my settee

(Do I wanna know) If this feelin' flows both ways?
(Sad to see you go) Was sorta hopin' that you'd stay
(Baby, we both know) That the nights were mainly made
For sayin' things that you can't say tomorrow day

Crawlin' back to you
Ever thought of callin' when
You've had a few?
'Cause I always do
Maybe I'm too
Busy bein' yours
To fall for somebody new
Now I've thought it through
Crawlin' back to you

So have you got the guts?
Been wonderin' if your heart's still open
And if so, I wanna know what time it shuts
Simmer down an' pucker up, I'm sorry to interrupt
It's just I'm constantly on the cusp of tryin' to kiss you
But I don't know if you feel the same as I do
But we could be together if you wanted to

(Do I wanna know) If this feelin' flows both ways?
(Sad to see you go) Was sorta hopin' that you'd stay
(Baby, we both know) That the nights were mainly made
For sayin' things that you can't say tomorrow day

Crawlin' back to you (Crawlin' back to you)
Ever thought of callin' when
You've had a few? (You've had a few)
'Cause I always do ('Cause I always do)
Maybe I'm too (Maybe I'm too busy)
Busy bein' yours (Bein' yours)
To fall for somebody new
Now I've thought it through
Crawlin' back to you

(Do I wanna know) If this feelin' flows both ways?
(Sad to see you go) Was sorta hopin' that you'd stay
(Baby, we both know) That the nights were mainly made
For sayin' things that you can't say tomorrow day
(Do I wanna know?) Too busy bein' yours to fall
(Sad to see you go) Ever thought of callin', darlin'?
(Do I wanna know?) Do you want me crawlin' back to you?",,https://genius.com/Arctic-monkeys-do-i-wanna-know-lyrics,,,dark,Spotify: 429 Client Error: Too Many Requests for url: https://api.spotify.com/v1/search?q=track%3ADo+I+Wanna+Know%3F+artist%3AArctic+Monkeys&type=track&limit=5,genius,5FVd6KXrgO9B3JPmC8OPst,Do I Wanna Know?,Arctic Monkeys,AM,0.405,0.532,85.03,0.548,0.186,0.000263,0.0323,0.217,5.0,1.0,kaggle
Mr. Brightside,The Killers,"Comin' out of my cage and I've been doin' just fine
Gotta, gotta be down because I want it all
It started out with a kiss, how did it end up like this?
It was only a kiss, it was only a kiss
Now I'm falling asleep and she's calling a cab
While he's having a smoke and she's taking a drag
Now they're goin' to bed and my stomach is sick
And it's all in my head, but she's touching his

Chest now
He takes off her dress now
Let me go
And I just can't look, it's killing me
And taking control

Jealousy
Turning saints into the sea
Swimming through sick lullabies
Choking on your alibis
But it's just the price I pay
Destiny is calling me
Open up my eager eyes
'Cause I'm Mr. Brightside


I'm comin' out of my cage and I've been doin' just fine
Gotta, gotta be down because I want it all
It started out with a kiss, how did it end up like this?
(It was only a kiss) It was only a kiss
Now I'm falling asleep and she's calling a cab
While he's havin' a smoke and she's taking a drag
Now they're goin' to bed and my stomach is sick
And it's all in my head, but she's touching his

Chest now
He takes off her dress now
Let me go
'Cause I just can't look, it's killing me
And taking control

Jealousy
Turning saints into the sea
Swimming through sick lullabies
Choking on your alibis
But it's just the price I pay
Destiny is calling me
Open up my eager eyes
'Cause I'm Mr. Brightside


I never
I never
I never
I never",,https://genius.com/The-killers-mr-brightside-lyrics,,,aggressive,Spotify: 429 Client Error: Too Many Requests for url: https://api.spotify.com/v1/search?q=track%3AMr.+Brightside+artist%3AThe+Killers&type=track&limit=5,genius,7d8GetOsjbxYnlo6Y9e5Kw,Mr. Brightside,The Killers,Hot Fuss,0.239,0.928,148.026,0.352,0.00113,0.0,0.0758,0.0987,1.0,1.0,kaggle
Creep,Radiohead,"When you were here before
Couldn't look you in the eye
You're just like an angel
Your skin makes me cry
You float like a feather
In a beautiful world
I wish I was special
You're so fuckin' special

But I'm a creep
I'm a weirdo
What the hell am I doin' here?
I don't belong here

I don't care if it hurts
I wanna have control
I want a perfect body
I want a perfect soul
I want you to notice
When I'm not around
You're so fuckin' special
I wish I was special

But I'm a creep
I'm a weirdo
What the hell am I doin' here?
I don't belong here
Oh-oh, oh-oh

She's runnin' out the door
She's runnin' out
She run, run, run, run
Run

Whatever makes you happy
Whatever you want
You're so fuckin' special
I wish I was special

But I'm a creep
I'm a weirdo
What the hell am I doin' here?
I don't belong here
I don't belong here",,https://genius.com/Radiohead-creep-lyrics,,,melancholic,Spotify: 429 Client Error: Too Many Requests for url: https://api.spotify.com/v1/search?q=track%3ACreep+artist%3ARadiohead&type=track&limit=5,genius,3HfB5hBU0dmBt8T0iCmH42,Creep,Radiohead,Pablo Honey [Collector's Edition],0.126,0.344,91.834,0.532,0.00563,0.000473,0.035,0.115,7.0,1.0,kaggle
Vivir Mi Vida,Marc Anthony,"Voy a reír, voy a bailar
Vivir mi vida, la-la-la-la
Voy a reír, voy a gozar
Vivir mi vida, la-la-la-la

Voy a reír (¡Eso!), voy a bailar
Vivir mi vida, la-la-la-la
Voy a reír, voy a gozar
Vivir mi vida, la-la-la-la

A veces llega la lluvia
Para limpiar las heridas
A veces sólo una gota
Puede vencer la sequía

Y para qué llorar, ¿pa' qué?
Si duele una pena, se olvida
Y para qué sufrir, ¿pa' qué?
Si así es la vida, hay que vivirla, la-la-le

Voy a reír, voy a bailar
Vivir mi vida, la-la-la-la
Voy a reír, voy a gozar
Vivir mi vida, la-la-la-la

¡Eso!

Voy a vivir el momento
Para entender el destino
Voy a escuchar en silencio
Para encontrar el camino

Y para qué llorar, ¿pa' qué?
Si duele una pena, se olvida
Y para qué sufrir, ¿pa' qué?
Si duele una pena, se olvida, la-la-le

Voy a reír (¡Toma!), voy a bailar
Vivir mi vida, la-la-la-la
Voy a reír, voy a gozar
Vivir mi vida, la-la-la-la

¡Mi gente!
¡Toma!

Voy a reír, voy a bailar
¿Pa' qué llorar? ¿Pa' qué sufrir?
Empieza a soñar, a reír
Voy a reír, voy a bailar (¡Toma!)
Siente y baila y goza
Que la vida es una sola
Voy a reír, voy a bailar
Vive, sigue
Siempre pa'lante, no mires pa'trás

¡Eso!
¡Mi gente!
¡La vida es una! Jaja
¡Toma!

Voy a reír, voy a bailar
Vivir mi vida, la-la-la-la
Voy a reír, voy a gozar
Vivir mi vida, la-la-la-la",,https://genius.com/Marc-anthony-vivir-mi-vida-lyrics,,,energetic,Spotify: 429 Client Error: Too Many Requests for url: https://api.spotify.com/v1/search?q=track%3AVivir+Mi+Vida+artist%3AMarc+Anthony&type=track&limit=5,genius,3QHMxEOAGD51PDlbFPHLyJ,Vivir Mi Vida,Marc Anthony,3.0,0.893,0.877,105.017,0.655,0.344,0.0,0.0344,0.349,0.0,0.0,kaggle
Californication,Red Hot Chili Peppers,"Psychic spies from China try to steal your mind's elation
And little girls from Sweden dream of silver-screen quotation
And if you want these kind of dreams, it's Californication

It's the edge of the world and all of Western civilization
The sun may rise in the East, at least it settled in a final location
It's understood that Hollywood sells Californication

Pay your surgeon very well to break the spell of aging
Celebrity skin, is this your chin, or is that war you're waging?
Firstborn unicorn
Hardcore soft porn

Dream of Californication
Dream of Californication
Dream of Californication
Dream of Californication

Marry me, girl, be my fairy to the world, be my very own constellation
A teenage bride with a baby inside getting high on information
And buy me a star on the boulevard, it's Californication

Space may be the final frontier, but it's made in a Hollywood basement
And Cobain, can you hear the spheres singing songs off 
Station to Station
?
And Alderaan's not far away, it's Californication

Born and raised by those who praise control of population
Well, everybody's been there, and I don't mean on vacation
Firstborn unicorn
Hardcore soft porn

Dream of Californication
Dream of Californication
Dream of Californication
Dream of Californication


Destruction leads to a very rough road, but it also breeds creation
And earthquakes are to a girl's guitar, they're just another good vibration
And tidal waves couldn't save the world from Californication

Pay your surgeon very well to break the spell of aging
Sicker than the rest, there is no test, but this is what you're craving
Firstborn unicorn
Hardcore soft porn

Dream of Californication
Dream of Californication
Dream of Californication
Dream of Californication",,https://genius.com/Red-hot-chili-peppers-californication-lyrics,,,aggressive,Spotify: 429 Client Error: Too Many Requests for url: https://api.spotify.com/v1/search?q=track%3ACalifornication+artist%3ARed+Hot+Chili+Peppers&type=track&limit=5,genius,48UPSzbZjgc449aqz8bxox,Californication,Red Hot Chili Peppers,Californication (Deluxe Edition),0.328,0.767,96.483,0.592,0.0021,0.00165,0.027,0.127,9.0,0.0,kaggle
Propuesta Indecente,Romeo Santos,"Hola, me llaman Romeo
Es un placer conocerla

Qué bien te ves
Te adelanto, no me importa quién sea él
Dígame usted
Si ha hecho algo travieso alguna vez

Una aventura es más divertida si huele a peligro

Si te invito a una copa y me acerco a tu boca
Si te robo un besito, a ver, ¿te enojas conmigo?
¿Qué dirías si esta noche te seduzco en mi coche?
Que se empañen los vidrios y la regla es que goces
Si te falto el respeto y luego culpo al alcohol
Si levanto tu falda, ¿me darías el derecho a medir tu sensatez?
Poner en juego tu cuerpo
¿Sí te parece prudente esta propuesta indecente?

A ver, a ver
Permíteme apreciar tu desnudez (Take it off)
Relájate
Que este martini calmará tu timidez (Don't be shy)

Y una aventura es más divertida si huele a peligro
Si te invito a una copa y me acerco a tu boca
Si te robo un besito, a ver, ¿te enojas conmigo?
¿Qué dirías si esta noche te seduzco en mi coche?
Que se empañen los vidrios y la regla es que goces
Si te falto el respeto y luego culpo al alcohol
Si levanto tu falda, ¿me darías el derecho a medir tu sensatez?
Poner en juego tu cuerpo
¿Sí te parece prudente esta propuesta indecente?

I'm back (Back, back)
It feels good to be king
Gostoso
Hey, listen, I know what you like

How 'bout if you and I, me and you, bailamos bachata?
¿Y luego you and I, me and you, terminamo' en la cama? (Qué rico)
How 'bout if you and I, me and you, bailamos bachata? (Ay, bailamos bachata)
¿Y luego you and I, me and you, terminamo' en la cama? (Terminamos en la cama)
How 'bout if you and I (You and I)
Me and you (Me and you)
You and I (You and I)
Me and you (You)
You and I (You and I)
Me and you (I'm a bad boy)
Me and you, you

Ay, chichí
Llora, guitarra, llora",,https://genius.com/Romeo-santos-propuesta-indecente-lyrics,,,uplifting,Spotify: 429 Client Error: Too Many Requests for url: https://api.spotify.com/v1/search?q=track%3APropuesta+Indecente+artist%3ARomeo+Santos&type=track&limit=5,genius,5PycBIeabfvX3n9ILG7Vrv,Propuesta Indecente,Romeo Santos,"Fórmula, Vol. 2 (Deluxe Edition)",0.742,0.632,122.936,0.757,0.499,0.0,0.0549,0.0723,2.0,1.0,kaggle
Mi Gente,J Balvin,"Si el ritmo te lleva a mover la cabeza
Ya empezamos como es
Mi música no discrimina a nadie
Así que vamos a romper
Toda mi gente se mueve
Mira el ritmo cómo los tiene
Hago música que entretiene
El mundo nos quiere, nos quiere
Me quiere a mí
Toda mi gente se mueve
Mira el ritmo cómo los tiene
Hago música que entretiene
Mi música los tiene fuerte bailando
Y se baila así


Tamo' rompiendo la discoteca
La fiesta no para, apenas comienza
C'est comme-ci, c'est comme ça
Ma chèrie, la-la-la-la-la
Francia, Colombia
Me gusta (Freeze)
J Balvin, Willy William
Le gusta (Freeze)
Los DJs no mienten, le gusta a mi gente
Y eso se fue mundial (Freeze)
No le bajamos, más nunca paramos
Es otro palo y ¡blam!

¿Y dónde está mi gente?
Mais fais bouger la tête
¿Y dónde está mi gente?
Say yeah, yeah, yeah
Un, dos, tres, ¡leggo!
(Ay, di que sí)


Esquina a esquina, de ahí no' vamo'
El mundo es grande, pero lo tengo en mi' manos
Estoy muy duro, sí, ok, ahí vamos
Y con el tiempo nos seguimos elevando
Que seguimos rompiendo aquí
Esta fiesta no tiene fin
Botellas para arriba, sí
Los tengo bailando, rompiendo y yo sigo aquí
Que seguimos rompiendo aquí
Esta fiesta no tiene fin
Botellas para arriba, sí
Los tengo bailando, rompiendo

¿Y dónde está mi gente?
Mais fais bouger la tête
¿Y dónde está mi gente?
Say yeah, yeah, yeah
Un, dos, tres, ¡leggo!
(Ay di que sí)


Worldwide
Willy William
J Balvin, man
Uh-huh
Uh-huh
Uh-huh
Uh-huh",,https://genius.com/J-balvin-and-willy-william-mi-gente-lyrics,,,aggressive,Spotify: 429 Client Error: Too Many Requests for url: https://api.spotify.com/v1/search?q=track%3AMi+Gente+artist%3AJ+Balvin&type=track&limit=5,genius,4ipnJyDU3Lq15qBAYNqlqK,Mi Gente,J Balvin,Mi Gente,0.308,0.687,104.959,0.774,0.0179,1.17e-05,0.0584,0.128,11.0,0.0,kaggle
